planet,day,x,y,z
Venus,160.92184368737475,20225980.442607027,105840081.36143312,278971.9709995861
Venus,161.65330661322645,18040377.75277593,106222026.72009997,410361.54935788753
Venus,162.38476953907815,15847130.138197165,106558958.33648585,541577.2256743592
Venus,163.11623246492985,13647164.8561797,106850718.80439542,672563.3203700129
Venus,163.84769539078155,11441412.64599509,107097170.02516179,803264.2167461317
Venus,164.57915831663325,9230807.322337696,107298193.29305299,933624.3856200821
Venus,165.31062124248496,7016285.366355151,107453689.37184557,1063588.4099806636
Venus,166.04208416833666,4798785.51444868,107563578.5624858,1193101.009650391
Venus,166.77354709418836,2579248.3450470148,107627800.7617625,1322107.0659419075
Venus,167.50501002004006,358615.8635616906,107646315.51192203,1450551.6462955824
Venus,168.23647294589176,-1862168.9142672846,107619102.04116026,1578380.0288853433
Venus,168.96793587174346,-4082162.380423862,107546159.29493219,1705537.7271797145
Venus,169.69939879759517,-6300420.753850057,107427505.9580248,1831970.5144448266
Venus,170.4308617234469,-8516000.500648135,107263180.4673449,1957624.4481764124
Venus,171.1623246492986,-10727958.755028676,107053241.01537868,2082445.894447364
Venus,171.8937875751503,-12935353.740786307,106797765.54428615,2206381.552157748
Venus,172.625250501002,-15137245.193078972,106496851.73059839,2329378.47717392
Venus,173.3567134268537,-17332694.780287147,106150616.96049306,2451384.106343469
Venus,174.0881763527054,-19520766.525728084,105759198.2956276,2572346.281372751
Venus,174.8196392785571,-21700527.22899738,105322752.42951724,2692213.272553671
Venus,175.5511022044088,-23871046.886709794,104841455.6344504,2810933.8023264646
Venus,176.2825651302605,-26031399.11241282,104315503.69893977,2928457.0686653648
Venus,177.0140280561122,-28180661.555440404,103745111.85571474,3044732.7682738113
Venus,177.7454909819639,-30317916.318480007,103130514.70026566,3159711.119576256
Venus,178.4769539078156,-32442250.37362174,102471966.09995788,3273342.8854934475
Venus,179.20841683366731,-34552755.97665794,101769739.0937395,3385579.395988166
Venus,179.93987975951902,-36648531.07940655,101024125.7824725,3496372.5703687146
Venus,180.67134268537072,-38728679.73982511,100235437.20992449,3605674.93933723
Venus,181.40280561122245,-40792312.529688925,99404003.23446292,3713439.6667702994
Venus,182.13426853707415,-42838546.93960228,98530172.39150256,3819620.5712192454
Venus,182.86573146292585,-44866507.78111903,97614311.7467598,3924172.147117891
Venus,183.59719438877755,-46875327.58574168,96656806.74037783,4027049.5856853575
Venus,184.32865731462925,-48864147.00057633,95658061.02198984,4128208.7955119656
Venus,185.06012024048096,-50832115.18042173,94618496.27679418,4227606.422816427
Venus,185.79158316633266,-52778390.17606602,93538552.04272427,4325199.871362421
Venus,186.52304609218436,-54702139.3185762,92418685.51879804,4420947.322023277
Venus,187.25450901803606,-56602539.59935969,91259371.36474156,4514807.751983332
Venus,187.98597194388776,-58478778.04578333,90061101.49198581,4606740.953564928
Venus,188.71743486973946,-60330052.09213816,88824384.84614114,4696707.552670241
Venus,189.44889779559117,-62155569.94573823,87549747.18106179,4784669.026827292
Venus,190.18036072144287,-63954550.947947934,86237730.82461676,4870587.722829811
Venus,190.91182364729457,-65726225.92993348,84888894.43628956,4954426.873960887
Venus,191.64328657314627,-67469837.5629361,83503812.75673738,5036150.616790454
Venus,192.37474949899797,-69184640.70287384,82083076.34944054,5115724.007537296
Venus,193.10621242484967,-70869902.72907358,80627291.33458525,5193113.037986036
Venus,193.8376753507014,-72524903.87694785,79137079.11532187,5268284.650950377
Venus,194.5691382765531,-74148937.56442812,77613076.09655052,5341206.755273781
Venus,195.3006012024048,-75741310.7119742,76055933.39638866,5411848.240359301
Venus,196.0320641282565,-77301344.05598287,74466316.55048068,5480178.9902205225
Venus,196.7635270541082,-78828372.45542225,72844905.2093149,5546169.897045896
Venus,197.4949899799599,-80321745.19152477,71192392.82871781,5609792.87426908
Venus,198.2264529058116,-81780826.26037535,69509486.35369891,5671020.869138288
Venus,198.9579158316633,-83204994.65823622,67796905.89582568,5729827.874777896
Venus,199.68937875751502,-84593644.65945555,66055384.40431143,5786188.941736015
Venus,200.42084168336672,-85946186.0868123,64285667.33100117,5840080.189012017
Venus,201.15230460921842,-87262044.57415336,62488512.28944901,5891478.814558368
Venus,201.88376753507012,-88540661.82118756,60664688.70827843,5940363.105251551
Venus,202.61523046092182,-89781495.8403024,58814977.479026325,5986712.446327096
Venus,203.34669338677352,-90984021.19528094,56940170.59866781,6030507.330274319
Venus,204.07815631262523,-92147729.23179418,55041070.807031386,6071729.365186447
Venus,204.80961923847696,-93272128.29955867,53118491.21930621,6110361.282562523
Venus,205.54108216432866,-94356743.96604693,51173254.95385641,6146386.944557523
