planet,day,x,y
Uranus,163.91485809682806,2226150133.5074935,-1991763602.8659492
Uranus,164.52420701168614,2226386247.330901,-1991513413.0056062
Uranus,165.13355592654423,2226622330.4279485,-1991263195.6603835
Uranus,165.74290484140235,2226858382.7956595,-1991012950.833989
Uranus,166.35225375626044,2227094404.4310613,-1990762678.5301256
Uranus,166.96160267111853,2227330395.3311777,-1990512378.7525024
Uranus,167.57095158597662,2227566355.493034,-1990262051.504826
Uranus,168.18030050083473,2227802284.913658,-1990011696.7908013
Uranus,168.78964941569282,2228038183.5900755,-1989761314.614139
Uranus,169.3989983305509,2228274051.519313,-1989510904.9785445
Uranus,170.00834724540903,2228509888.698399,-1989260467.887726
Uranus,170.61769616026712,2228745695.1243615,-1989010003.3453925
Uranus,171.2270450751252,2228981470.7942276,-1988759511.355252
Uranus,171.83639398998332,2229217215.705027,-1988508991.9210129
Uranus,172.4457429048414,2229452929.85379,-1988258445.0463843
Uranus,173.0550918196995,2229688613.237544,-1988007870.7350757
Uranus,173.6644407345576,2229924265.8533206,-1987757268.990796
Uranus,174.2737896494157,2230159887.69815,-1987506639.8172562
Uranus,174.8831385642738,2230395478.769062,-1987255983.2181659
Uranus,175.49248747913188,2230631039.0630894,-1987005299.197235
Uranus,176.10183639399,2230866568.577265,-1986754587.7581737
Uranus,176.7111853088481,2231102067.3086176,-1986503848.9046948
Uranus,177.32053422370618,2231337535.254183,-1986253082.6405067
Uranus,177.92988313856426,2231572972.4109936,-1986002288.969322
Uranus,178.53923205342238,2231808378.776082,-1985751467.8948529
Uranus,179.14858096828047,2232043754.3464823,-1985500619.4208117
Uranus,179.75792988313856,2232279099.1192303,-1985249743.550908
Uranus,180.36727879799668,2232514413.0913587,-1984998840.2888572
Uranus,180.97662771285476,2232749696.259904,-1984747909.6383717
Uranus,181.58597662771285,2232984948.6219025,-1984496951.6031623
Uranus,182.19532554257094,2233220170.174389,-1984245966.1869435
Uranus,182.80467445742906,2233455360.914399,-1983994953.3934305
Uranus,183.41402337228715,2233690520.838973,-1983743913.226334
Uranus,184.02337228714524,2233925649.9451466,-1983492845.6893694
Uranus,184.63272120200335,2234160748.2299557,-1983241750.7862525
Uranus,185.24207011686144,2234395815.6904416,-1982990628.5206954
Uranus,185.85141903171953,2234630852.3236423,-1982739478.896414
Uranus,186.46076794657762,2234865858.126595,-1982488301.9171247
Uranus,187.07011686143574,2235100833.0963407,-1982237097.5865407
Uranus,187.67946577629382,2235335777.22992,-1981985865.9083781
Uranus,188.2888146911519,2235570690.5243716,-1981734606.8863547
Uranus,188.89816360601003,2235805572.9767375,-1981483320.524185
Uranus,189.50751252086812,2236040424.5840597,-1981232006.825585
Uranus,190.1168614357262,2236275245.343378,-1980980665.7942734
Uranus,190.7262103505843,2236510035.251735,-1980729297.4339652
Uranus,191.3355592654424,2236744794.3061757,-1980477901.748378
Uranus,191.9449081803005,2236979522.50374,-1980226478.7412305
Uranus,192.5542570951586,2237214219.8414717,-1979975028.4162395
Uranus,193.1636060100167,2237448886.3164167,-1979723550.7771227
Uranus,193.7729549248748,2237683521.9256167,-1979472045.8276002
Uranus,194.38230383973288,2237918126.6661196,-1979220513.5713878
Uranus,194.99165275459097,2238152700.534968,-1978968954.0122063
Uranus,195.6010016694491,2238387243.5292068,-1978717367.1537752
Uranus,196.21035058430718,2238621755.645885,-1978465752.999812
Uranus,196.81969949916527,2238856236.8820477,-1978214111.5540369
Uranus,197.42904841402338,2239090687.2347393,-1977962442.820171
Uranus,198.03839732888147,2239325106.701011,-1977710746.8019333
Uranus,198.64774624373956,2239559495.277909,-1977459023.5030446
Uranus,199.25709515859768,2239793852.96248,-1977207272.9272268
Uranus,199.86644407345577,2240028179.751775,-1976955495.0781975
Uranus,200.47579298831386,2240262475.642842,-1976703689.959681
Uranus,201.08514190317194,2240496740.632729,-1976451857.5753994
Uranus,201.69449081803006,2240730974.7184887,-1976199997.9290717
Uranus,202.30383973288815,2240965177.897169,-1975948111.0244205
Uranus,202.91318864774624,2241199350.1658216,-1975696196.8651698
Uranus,203.52253756260436,2241433491.521498,-1975444255.45504
Uranus,204.13188647746244,2241667601.9612503,-1975192286.7977552
Uranus,204.74123539232053,2241901681.4821277,-1974940290.8970392
Uranus,205.35058430717862,2242135730.0811863,-1974688267.7566133
Uranus,205.95993322203674,2242369747.7554774,-1974436217.3802018
Uranus,206.56928213689483,2242603734.5020537,-1974184139.7715294
Uranus,207.17863105175292,2242837690.3179693,-1973932034.9343204
Uranus,207.78797996661103,2243071615.20028,-1973679902.8722975
Uranus,208.39732888146912,2243305509.146038,-1973427743.589187
Uranus,209.0066777963272,2243539372.152299,-1973175557.0887146
Uranus,209.6160267111853,2243773204.21612,-1972923343.374602
Uranus,210.22537562604342,2244007005.334556,-1972671102.4505773
Uranus,210.8347245409015,2244240775.504661,-1972418834.3203676
Uranus,211.4440734557596,2244474514.7234964,-1972166538.9876947
Uranus,212.0534223706177,2244708222.9881167,-1971914216.4562879
Uranus,212.6627712854758,2244941900.2955785,-1971661866.7298737
Uranus,213.2721202003339,2245175546.642943,-1971409489.8121765
Uranus,213.88146911519198,2245409162.027265,-1971157085.7069266
Uranus,214.4908180300501,2245642746.4456053,-1970904654.4178493
Uranus,215.10016694490818,2245876299.895025,-1970652195.9486716
Uranus,215.70951585976627,2246109822.3725815,-1970399710.3031232
Uranus,216.3188647746244,2246343313.8753347,-1970147197.4849315
Uranus,216.92821368948248,2246576774.400347,-1969894657.4978244
Uranus,217.53756260434056,2246810203.9446793,-1969642090.34553
Uranus,218.14691151919865,2247043602.505392,-1969389496.0317788
Uranus,218.75626043405677,2247276970.0795474,-1969136874.5602987
Uranus,219.36560934891486,2247510306.664208,-1968884225.93482
Uranus,219.97495826377295,2247743612.2564363,-1968631550.1590717
Uranus,220.58430717863106,2247976886.853297,-1968378847.2367833
Uranus,221.19365609348915,2248210130.451853,-1968126117.1716857
Uranus,221.80300500834724,2248443343.0491676,-1967873359.9675102
Uranus,222.41235392320536,2248676524.642305,-1967620575.6279864
Uranus,223.02170283806345,2248909675.228332,-1967367764.1568444
Uranus,223.63105175292154,2249142794.8043118,-1967114925.5578184
Uranus,224.24040066777962,2249375883.367313,-1966862059.8346367
Uranus,224.84974958263774,2249608940.9144,-1966609166.9910321
Uranus,225.45909849749583,2249841967.442639,-1966356247.0307386
Uranus,226.06844741235392,2250074962.949098,-1966103299.957486
Uranus,226.67779632721204,2250307927.430845,-1965850325.775008
Uranus,227.28714524207012,2250540860.884947,-1965597324.487038
Uranus,227.8964941569282,2250773763.3084726,-1965344296.0973074
Uranus,228.5058430717863,2251006634.6984916,-1965091240.6095507
Uranus,229.11519198664442,2251239475.052072,-1964838158.0275013
Uranus,229.7245409015025,2251472284.3662844,-1964585048.3548934
Uranus,230.3338898163606,2251705062.6381993,-1964331911.59546
Uranus,230.9432387312187,2251937809.864885,-1964078747.7529378
Uranus,231.5525876460768,2252170526.0434146,-1963825556.83106
Uranus,232.1619365609349,2252403211.1708603,-1963572338.8335598
Uranus,232.77128547579298,2252635865.2442913,-1963319093.7641761
Uranus,233.3806343906511,2252868488.260782,-1963065821.6266418
Uranus,233.98998330550918,2253101080.2174044,-1962812522.424693
Uranus,234.59933222036727,2253333641.1112313,-1962559196.1620657
Uranus,235.2086811352254,2253566170.9393363,-1962305842.8424976
Uranus,235.81803005008348,2253798669.6987944,-1962052462.4697237
Uranus,236.42737896494157,2254031137.3866796,-1961799055.0474806
Uranus,237.03672787979966,2254263574.0000653,-1961545620.5795074
Uranus,237.64607679465777,2254495979.53603,-1961292159.0695379
Uranus,238.25542570951586,2254728353.991647,-1961038670.5213118
Uranus,238.86477462437395,2254960697.363992,-1960785154.9385679
Uranus,239.47412353923207,2255193009.650144,-1960531612.3250422
Uranus,240.08347245409016,2255425290.847178,-1960278042.6844747
Uranus,240.69282136894824,2255657540.952171,-1960024446.0206041
Uranus,241.30217028380633,2255889759.962204,-1959770822.3371673
Uranus,241.91151919866445,2256121947.8743534,-1959517171.637904
Uranus,242.52086811352254,2256354104.6856966,-1959263493.9265559
Uranus,243.13021702838063,2256586230.3933144,-1959009789.20686
Uranus,243.73956594323874,2256818324.9942875,-1958756057.4825566
Uranus,244.34891485809683,2257050388.4856925,-1958502298.7573886
Uranus,244.95826377295492,2257282420.8646145,-1958248513.035092
Uranus,245.567612687813,2257514422.1281304,-1957994700.3194113
Uranus,246.17696160267113,2257746392.273323,-1957740860.6140862
Uranus,246.78631051752922,2257978331.2972755,-1957486993.922856
Uranus,247.3956594323873,2258210239.197068,-1957233100.249465
Uranus,248.00500834724542,2258442115.969783,-1956979179.597655
Uranus,248.6143572621035,2258673961.612506,-1956725231.9711654
Uranus,249.2237061769616,2258905776.122319,-1956471257.3737397
Uranus,249.83305509181972,2259137559.496305,-1956217255.8091228
Uranus,250.4424040066778,2259369311.7315497,-1955963227.2810538
Uranus,251.0517529215359,2259601032.825139,-1955709171.7932768
Uranus,251.66110183639398,2259832722.774155,-1955455089.349537
Uranus,252.2704507512521,2260064381.5756855,-1955200979.953576
Uranus,252.8797996661102,2260296009.2268167,-1954946843.6091387
Uranus,253.48914858096828,2260527605.7246337,-1954692680.3199697
Uranus,254.0984974958264,2260759171.0662255,-1954438490.0898106
Uranus,254.70784641068448,2260990705.248678,-1954184272.9224083
Uranus,255.31719532554257,2261222208.2690783,-1953930028.8215096
Uranus,255.92654424040066,2261453680.124517,-1953675757.7908547
Uranus,256.53589315525875,2261685120.812082,-1953421459.834192
Uranus,257.14524207011686,2261916530.3288603,-1953167134.9552686
Uranus,257.754590984975,2262147908.6719437,-1952912783.1578274
Uranus,258.36393989983304,2262379255.8384223,-1952658404.4456155
Uranus,258.97328881469116,2262610571.825385,-1952403998.822381
Uranus,259.5826377295493,2262841856.6299243,-1952149566.2918682
Uranus,260.19198664440734,2263073110.2491302,-1951895106.8578253
Uranus,260.80133555926545,2263304332.680096,-1951640620.5239987
Uranus,261.41068447412357,2263535523.9199114,-1951386107.2941384
Uranus,262.02003338898163,2263766683.96567,-1951131567.1719897
Uranus,262.62938230383975,2263997812.814466,-1950877000.1613011
Uranus,263.2387312186978,2264228910.4633913,-1950622406.2658215
Uranus,263.8480801335559,2264459976.9095407,-1950367785.4892988
Uranus,264.45742904841404,2264691012.150009,-1950113137.8354812
Uranus,265.0667779632721,2264922016.1818886,-1949858463.3081205
Uranus,265.6761268781302,2265152989.002277,-1949603761.9109628
Uranus,266.28547579298834,2265383930.6082697,-1949349033.6477585
Uranus,266.8948247078464,2265614840.9969606,-1949094278.5222592
Uranus,267.5041736227045,2265845720.165448,-1948839496.5382133
Uranus,268.11352253756263,2266076568.1108294,-1948584687.6993706
Uranus,268.7228714524207,2266307384.8301997,-1948329852.0094843
Uranus,269.3322203672788,2266538170.3206587,-1948074989.4723032
Uranus,269.9415692821369,2266768924.579304,-1947820100.0915778
Uranus,270.550918196995,2266999647.603235,-1947565183.8710616
Uranus,271.1602671118531,2267230339.3895483,-1947310240.8145053
Uranus,271.76961602671116,2267460999.9353466,-1947055270.9256606
Uranus,272.3789649415693,2267691629.2377267,-1946800274.2082796
Uranus,272.9883138564274,2267922227.2937913,-1946545250.6661155
Uranus,273.59766277128546,2268152794.1006403,-1946290200.30292
Uranus,274.2070116861436,2268383329.655374,-1946035123.122448
Uranus,274.8163606010017,2268613833.9550962,-1945780019.12845
Uranus,275.42570951585975,2268844306.9969087,-1945524888.3246796
Uranus,276.03505843071787,2269074748.7779117,-1945269730.7148936
Uranus,276.644407345576,2269305159.2952094,-1945014546.3028433
Uranus,277.25375626043405,2269535538.545906,-1944759335.0922832
Uranus,277.86310517529216,2269765886.5271034,-1944504097.0869699
Uranus,278.4724540901503,2269996203.235908,-1944248832.2906563
Uranus,279.08180300500834,2270226488.6694236,-1943993540.7070968
Uranus,279.69115191986646,2270456742.824755,-1943738222.3400483
Uranus,280.3005008347245,2270686965.6990085,-1943482877.1932654
Uranus,280.90984974958263,2270917157.2892895,-1943227505.270504
Uranus,281.51919866444075,2271147317.5927033,-1942972106.5755212
Uranus,282.1285475792988,2271377446.6063585,-1942716681.112072
Uranus,282.7378964941569,2271607544.3273625,-1942461228.8839128
Uranus,283.34724540901504,2271837610.75282,-1942205749.894803
Uranus,283.9565943238731,2272067645.8798437,-1941950244.1484957
Uranus,284.5659432387312,2272297649.7055387,-1941694711.6487515
Uranus,285.17529215358934,2272527622.227014,-1941439152.3993273
Uranus,285.7846410684474,2272757563.441381,-1941183566.4039805
Uranus,286.3939899833055,2272987473.34575,-1940927953.6664684
Uranus,287.00333889816363,2273217351.937228,-1940672314.1905518
Uranus,287.6126878130217,2273447199.2129283,-1940416647.979987
Uranus,288.2220367278798,2273677015.1699615,-1940160955.0385334
Uranus,288.8313856427379,2273906799.8054395,-1939905235.3699505
Uranus,289.440734557596,2274136553.1164722,-1939649488.9779997
Uranus,290.0500834724541,2274366275.100176,-1939393715.8664367
Uranus,290.65943238731217,2274595965.75366,-1939137916.0390248
Uranus,291.2687813021703,2274825625.0740385,-1938882089.4995232
Uranus,291.8781302170284,2275055253.058428,-1938626236.2516906
Uranus,292.48747913188646,2275284849.7039385,-1938370356.2992907
Uranus,293.0968280467446,2275514415.0076866,-1938114449.646083
Uranus,293.7061769616027,2275743948.9667883,-1937858516.2958279
Uranus,294.31552587646075,2275973451.5783577,-1937602556.2522879
Uranus,294.92487479131887,2276202922.83951,-1937346569.519226
Uranus,295.534223706177,2276432362.7473636,-1937090556.1004016
Uranus,296.14357262103505,2276661771.2990336,-1936834515.999579
Uranus,296.75292153589317,2276891148.491638,-1936578449.2205198
Uranus,297.3622704507513,2277120494.322294,-1936322355.7669873
Uranus,297.97161936560934,2277349808.7881217,-1936066235.6427426
Uranus,298.58096828046746,2277579091.886236,-1935810088.8515527
Uranus,299.1903171953255,2277808343.6137576,-1935553915.3971786
Uranus,299.79966611018364,2278037563.967808,-1935297715.283383
Uranus,300.40901502504175,2278266752.945502,-1935041488.513934
Uranus,301.0183639398998,2278495910.5439644,-1934785235.0925922
Uranus,301.62771285475793,2278725036.760315,-1934528955.0231225
Uranus,302.23706176961605,2278954131.5916724,-1934272648.3092933
Uranus,302.8464106844741,2279183195.0351605,-1934016314.9548657
Uranus,303.4557595993322,2279412227.087901,-1933759954.9636064
Uranus,304.06510851419034,2279641227.747015,-1933503568.3392825
Uranus,304.6744574290484,2279870197.009627,-1933247155.0856566
Uranus,305.2838063439065,2280099134.8728595,-1932990715.2064981
Uranus,305.89315525876464,2280328041.333835,-1932734248.7055717
Uranus,306.5025041736227,2280556916.38968,-1932477755.586644
Uranus,307.1118530884808,2280785760.037518,-1932221235.8534825
Uranus,307.7212020033389,2281014572.274472,-1931964689.5098548
Uranus,308.330550918197,2281243353.0976706,-1931708116.5595279
Uranus,308.9398998330551,2281472102.504238,-1931451517.0062685
Uranus,309.54924874791317,2281700820.491301,-1931194890.8538463
Uranus,310.1585976627713,2281929507.055985,-1930938238.1060283
Uranus,310.7679465776294,2282158162.1954193,-1930681558.766583
Uranus,311.37729549248746,2282386785.90673,-1930424852.8392792
Uranus,311.9866444073456,2282615378.187046,-1930168120.3278856
Uranus,312.5959933222037,2282843939.0334945,-1929911361.2361724
Uranus,313.20534223706176,2283072468.4432044,-1929654575.5679095
Uranus,313.8146911519199,2283300966.4133077,-1929397763.3268642
Uranus,314.424040066778,2283529432.940931,-1929140924.5168078
Uranus,315.03338898163605,2283757868.023205,-1928884059.1415129
Uranus,315.64273789649417,2283986271.657262,-1928627167.2047458
Uranus,316.2520868113523,2284214643.8402314,-1928370248.7102787
Uranus,316.86143572621035,2284442984.5692453,-1928113303.6618848
Uranus,317.47078464106846,2284671293.841436,-1927856332.063333
Uranus,318.0801335559265,2284899571.653935,-1927599333.9183953
Uranus,318.68948247078464,2285127818.003875,-1927342309.2308447
Uranus,319.29883138564276,2285356032.88839,-1927085258.004452
Uranus,319.9081803005008,2285584216.3046136,-1926828180.2429895
Uranus,320.51752921535893,2285812368.249679,-1926571075.9502301
Uranus,321.12687813021705,2286040488.7207217,-1926313945.1299472
Uranus,321.7362270450751,2286268577.714876,-1926056787.7859132
Uranus,322.3455759599332,2286496635.2292786,-1925799603.9219007
Uranus,322.95492487479135,2286724661.2610626,-1925542393.5416846
Uranus,323.5642737896494,2286952655.807366,-1925285156.6490383
Uranus,324.1736227045075,2287180618.8653255,-1925027893.2477357
Uranus,324.78297161936564,2287408550.432078,-1924770603.3415518
Uranus,325.3923205342237,2287636450.504761,-1924513286.9342597
Uranus,326.0016694490818,2287864319.0805125,-1924255944.029636
Uranus,326.6110183639399,2288092156.156471,-1923998574.6314554
Uranus,327.220367278798,2288319961.7297745,-1923741178.7434926
Uranus,327.8297161936561,2288547735.7975636,-1923483756.3695226
Uranus,328.43906510851417,2288775478.356977,-1923226307.5133233
Uranus,329.0484140233723,2289003189.4051547,-1922968832.1786695
Uranus,329.6577629382304,2289230868.9392385,-1922711330.3693378
Uranus,330.26711185308847,2289458516.956368,-1922453802.0891056
Uranus,330.8764607679466,2289686133.4536858,-1922196247.3417485
Uranus,331.4858096828047,2289913718.428333,-1921938666.1310444
Uranus,332.09515859766276,2290141271.877451,-1921681058.4607718
Uranus,332.7045075125209,2290368793.7981853,-1921423424.3347056
Uranus,333.313856427379,2290596284.1876764,-1921165763.756626
Uranus,333.92320534223705,2290823743.043069,-1920908076.7303112
Uranus,334.53255425709517,2291051170.361507,-1920650363.2595377
Uranus,335.14190317195323,2291278566.140135,-1920392623.3480866
